Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
h02753;;;;;;;;;no;id:3977;MODBUS_HOLDING_REGISTER;2753;1;;u8;21;22;22
h02757;;;;;;;;;no;id:1726;MODBUS_HOLDING_REGISTER;2757;1;;s16;0;30000;0
h02758;;;;;;;;;no;id:1757;MODBUS_HOLDING_REGISTER;2758;1;;u8;0;1;0
h02767;;;;;;;;;no;id:12332;MODBUS_HOLDING_REGISTER;2767;1;;s16;-32768;32767;-32768
h02768;;;;;;;;;no;id:12333;MODBUS_HOLDING_REGISTER;2768;1;;s16;-32768;32767;-32768
h02769;;;;;;;;;no;id:12334;MODBUS_HOLDING_REGISTER;2769;1;;s16;-32768;32767;-32768
h02770;;;;;;;;;no;id:12335;MODBUS_HOLDING_REGISTER;2770;1;;s16;-32768;32767;-32768
h02771;;;;;;;;;no;id:12336;MODBUS_HOLDING_REGISTER;2771;1;;s16;-32768;32767;-32768
h02772;;;;;;;;;no;id:12337;MODBUS_HOLDING_REGISTER;2772;1;;s16;-32768;32767;-32768
h02773;;;;;;;;;no;id:12338;MODBUS_HOLDING_REGISTER;2773;1;;s16;-32768;32767;-32768
h02774;;;;;;;;;no;id:12339;MODBUS_HOLDING_REGISTER;2774;1;;s16;-32768;32767;-32768
h02775;;;;;;;;;no;id:12340;MODBUS_HOLDING_REGISTER;2775;1;;s16;-32768;32767;-32768
h02776;;;;;;;;;no;id:12341;MODBUS_HOLDING_REGISTER;2776;1;;s16;-32768;32767;-32768
h02777;;;;;;;;;no;id:12342;MODBUS_HOLDING_REGISTER;2777;1;;s16;-32768;32767;-32768
h02778;;;;;;;;;no;id:12343;MODBUS_HOLDING_REGISTER;2778;1;;s16;-32768;32767;-32768
h02779;;;;;;;;;no;id:12344;MODBUS_HOLDING_REGISTER;2779;1;;s16;-32768;32767;-32768
